Suburb,Direction,Distance (km),Latitude,Longitude
Abbotsbury,West,31.4,-33.87284999999997,150.8672100000001
Abbotsford,West,7.4,-33.850409999999954,151.12846000000002
Aberdare,North,115.2,-32.84185999999994,151.36986000000002
Acacia Gardens,West,31.0,-33.732399999999984,150.913
Adamstown,North-east,114.7,-32.93433999999996,151.7258700000001
Adamstown Heights,North-east,112.5,-32.94631999999996,151.7079500000001
Agnes Banks,North-west,53.8,-33.61445999999995,150.71082
Airds,South-west,42.4,-34.08446999999995,150.82904000000008
Alexandria,South,4.1,-33.91236999999995,151.19703000000004
Alfords Point,South-west,21.9,-33.99347999999998,151.02471000000003
Alison,North,68.3,-33.27521999999993,151.40479000000005
Allambie Heights,North,12.0,-33.76560999999998,151.25159000000008
Allawah,South-west,14.3,-33.97025999999994,151.1160000000001
Ambarvale,South-west,44.2,-34.08386999999993,150.80243000000007
Annandale,West,3.7,-33.88004999999998,151.1713000000001
Annangrove,North-west,31.9,-33.655809999999974,150.9413800000001
Appin,South-west,53.4,-34.20166999999998,150.78716000000009
Arcadia,North-west,30.7,-33.62147999999996,151.05367
Arcadia Vale,North,96.1,-33.06075999999996,151.57578000000012
Argenton,North,110.9,-32.93415999999996,151.63258000000008
Arncliffe,South-west,9.5,-33.93664999999993,151.14679
Arndell Park,West,31.1,-33.78836999999993,150.87983000000008
Artarmon,North,6.7,-33.808149999999955,151.18382000000008
Ashbury,West,9.0,-33.898169999999936,151.1210000000001
Ashcroft,West,29.0,-33.916049999999984,150.90111000000002
Ashfield,West,7.9,-33.88919999999996,151.12543000000005
Asquith,North-west,22.0,-33.68870999999996,151.1094700000001
Auburn,West,16.2,-33.848559999999964,151.0295000000001
Austinmer,South-west,55.0,-34.30577999999997,150.9350300000001
Austral,West,37.2,-33.93316999999996,150.81202000000008
Avalon,North-east,28.1,-33.63585999999998,151.3280800000001
Avoca Beach,North-east,49.4,-33.46739999999994,151.43378000000007
Badgerys Creek,West,43.2,-33.88077999999996,150.7419400000001
Balaclava,North-west,13.8,-34.440039999999954,150.4789300000001
Balgowlah,North-east,9.6,-33.79381999999998,151.26066000000003
Balgowlah Heights,North-east,8.6,-33.80495999999994,151.26205000000004
Balgownie,South-west,65.5,-34.388619999999946,150.8780700000001
Balmain,West,2.9,-33.85599999999994,151.17587000000003
Balmain East,North-west,1.8,-33.85767999999996,151.19137000000012
Bangor,South-west,23.5,-34.018599999999935,151.02890000000002
Banksia,South-west,10.7,-33.94551999999993,151.1414400000001
Banksmeadow,South,10.3,-33.96244999999993,151.21468000000004
Bankstown,West,16.9,-33.914589999999976,151.03428000000008
Bar Beach,North-east,115.6,-32.93824999999998,151.76849000000004
Bar Point,North,39.7,-33.47642999999994,151.1891700000001
Barden Ridge,South-west,26.2,-34.02650999999997,151.00710000000004
Bardia,West,34.3,-33.97572999999994,150.85701000000006
Bardwell Park,South-west,10.4,-33.932009999999934,151.12570000000005
Bardwell Valley,South-west,10.1,-33.93712999999997,151.13305000000003
Bargo,South-west,74.5,-34.289399999999944,150.57932000000005
Barrack Heights,South-west,84.1,-34.56209999999993,150.85836000000006
Bass Hill,West,20.0,-33.89850999999993,150.99494000000004
Bateau Bay,North-east,59.7,-33.38269999999994,151.4783500000001
Baulkham Hills,North-west,25.2,-33.75758999999994,150.9896000000001
Bayview,North,24.5,-33.65676999999994,151.2945800000001
Beacon Hill,North,13.7,-33.752579999999966,151.26125000000002
Beaconsfield,South,5.1,-33.912499999999966,151.2005600000001
Beaumont Hills,North-west,30.2,-33.70497999999998,150.94128000000012
Beecroft,North-west,18.6,-33.74968999999993,151.0646200000001
Belfield,West,12.1,-33.90459999999996,151.08504000000005
Belimbla Park,West,65.9,-34.075759999999946,150.54246000000012
Bella Vista,North-west,27.4,-33.73795999999993,150.95551000000012
Bellambi,South-west,61.9,-34.36907999999994,150.9175100000001
Bellbird,North,113.0,-32.86018999999993,151.32005000000004
Bellevue Hill,East,5.3,-33.87884999999994,151.25407000000007
Belmont,North-east,101.7,-33.036009999999976,151.6602600000001
Belmont North,North-east,103.5,-33.01938999999993,151.66775000000007
Belmore,West,12.3,-33.91921999999994,151.0931200000001
Belrose,North,14.2,-33.728569999999934,151.22090000000003
Bensville,North,44.1,-33.496279999999956,151.3946400000001
Berala,West,16.3,-33.869189999999946,151.0348600000001
Berkeley,South-west,75.9,-34.47416999999996,150.85436000000004
Berkeley Vale,North,62.1,-33.341819999999984,151.4312500000001
Berkshire Park,West,44.0,-33.67095999999998,150.77643000000012
Berowra,North,27.6,-33.623639999999966,151.15048000000002
Berowra Heights,North,29.3,-33.61167999999998,151.13769000000002
Berowra Waters,North,30.6,-33.602669866999975,151.12139706300002
Berrilee,North,29.8,-33.614229999999964,151.10279000000003
Berry,South-west,111.5,-34.77499999999998,150.69296000000008
Beverley Park,South-west,13.9,-33.97546999999997,151.1319000000001
Beverly Hills,South-west,14.8,-33.94692999999995,151.08014000000003
Bexley,South-west,11.7,-33.95088999999996,151.1255500000001
Bexley North,South-west,11.7,-33.938319999999976,151.11418000000003
Bidwill,West,38.7,-33.729209999999966,150.82096
Bilgola,North-east,26.9,-33.64311999999995,151.31704000000002
Bilgola Plateau,North-east,26.9,-33.64311999999995,151.31704000000002
Bilpin,North-west,75.6,-33.49778999999995,150.52086000000008
Birchgrove,North-west,2.9,-33.85185999999993,151.18099000000007
Birrong,West,17.3,-33.89235999999994,151.02068000000008
Blackalls Park,North,102.6,-32.99707999999998,151.58147000000008
Blackett,West,39.3,-33.73954999999995,150.8149800000001
Blackheath,West,89.2,-33.63367999999997,150.28474000000006
Blacksmiths,North-east,96.9,-33.079939999999965,151.6510800000001
Blacktown,West,29.7,-33.77194999999995,150.90827000000002
Blackwall,North,42.0,-33.503679999999974,151.33014000000003
Blair Athol,West,43.0,-30.649999999999977,150.20000000000005
Blairmount,West,42.4,-34.048749999999984,150.8040400000001
Blakehurst,South-west,16.1,-33.98796999999996,151.11149000000012
Blaxland,West,56.9,-33.74438999999995,150.60805000000005
Blaxlands Ridge,North-west,59.6,-33.46951999999993,150.79997000000003
Bligh Park,North-west,45.9,-33.63750999999996,150.7941800000001
Blue Bay,North-east,62.9,-33.35507999999993,151.49846000000002
Blue Haven,North,78.1,-33.20908999999995,151.51231000000007
Bolton Point,North,103.3,-32.998899999999935,151.61053000000004
Bondi,East,5.9,-33.89379999999994,151.26300000000003
Bondi Beach,East,6.8,-33.88865999999996,151.27786000000003
Bondi Junction,South-east,4.7,-33.892409999999984,151.24732000000006
Bonnells Bay,North,90.0,-33.11019999999996,151.52214000000004
Bonnet Bay,South-west,21.2,-34.01120999999995,151.0552100000001
Bonnyrigg,West,29.7,-33.89666999999997,150.88381000000004
Bonnyrigg Heights,West,31.4,-33.88924999999995,150.8691100000001
Booker Bay,North,41.6,-33.511079999999936,151.34445000000005
Bossley Park,West,29.9,-33.85967999999997,150.88273000000004
Botany,South,8.7,-33.94516999999996,151.19676000000004
Bow Bowing,West,38.1,-34.017169999999965,150.83969000000002
Bowen Mountain,North-west,62.8,-33.57420999999994,150.63015000000007
Bowral,South-west,99.5,-34.478249999999946,150.41800000000012
Box Hill,North-west,36.0,-33.65624999999994,150.89683000000002
Bradbury,South-west,43.7,-34.08416999999997,150.81247000000008
Breakfast Point,West,9.3,-33.841579999999965,151.10865
Brighton Le Sands,South-west,11.4,-33.96062999999998,151.1556700000001
Brighton-le-sands,South-west,11.4,-33.96062999999998,151.1556700000001
Brightwaters,North,89.2,-33.11090999999993,151.54228000000012
Bringelly,West,44.7,-33.94013999999993,150.73185000000012
Broadmeadow,North-east,116.0,-32.92207999999994,151.7319000000001
Bronte,South-east,6.5,-33.90286999999995,151.26001000000008
Brooklyn,North,35.6,-33.548059999999964,151.22615000000008
Brookvale,North-east,12.8,-33.76112999999998,151.27368
Brownlow Hill,West,53.8,-34.039409999999975,150.65883000000008
Budgewoi,North-east,77.5,-33.232609999999966,151.54894000000002
Buff Point,North-east,77.8,-33.22635999999994,151.5367500000001
