Suburb,Population,Density (/km2),Area (km2)
Abbotsbury,4253,3272,1.3 
Abbotsford,5373,5373,1 
Aberdare,2473,750,3.2961 
Acacia Gardens,3798,3798,1 
Adamstown,6044,2015,3 
Adamstown Heights,5299,1709,3.1 
Agnes Banks,911,,
Airds,2926,,
Alexandria,8262,1540,3.8 
Alfords Point,3109,,
Alison,0,,
Allambie Heights,7009,,
Allawah,5706,,
Ambarvale,7374,,
Annandale,9451,,
Annangrove,1397,,
Appin,2633,,
Arcadia,1385,,
Arcadia Vale,1381,,
Argenton,1351,844,1.6 
Arncliffe,10590,2942,3.6 
Arndell Park,27,,
Artarmon,9523,3809,2.5 
Ashbury,3329,,
Ashcroft,3585,,
Ashfield,23841,6812,3.5 
Asquith,3376,,
Auburn,37366,,
Austinmer,2560,,
Austral,3024,,
Avalon,9905,,
Avoca Beach,4584,1146,4.0 
Badgerys Creek,225,,
Balaclava,496,,
Balgowlah,7961,,
Balgowlah Heights,3342,,
Balgownie,5525,,
Balmain,10453,6969,1.5 
Balmain East,1932,6440,0.3 
Bangor,5620,1371,4.1 
Banksia,3388,,
Banksmeadow,18,161,3 
Bankstown,32113,,
Bar Beach,1256,4155,0.5 
Bar Point,64,,
Barden Ridge,4041,,
Bardia,1602,,
Bardwell Park,2242,,
Bardwell Valley,2323,,
Bargo,4393,,
Barrack Heights,5900,,
Bass Hill,9069,,
Bateau Bay,12146,1760,6.9 
Baulkham Hills,37050,,
Bayview,3620,,
Beacon Hill,7457,,
Beaconsfield,987,3345.0,0.2 
Beaumont Hills,9042,3014,3 
Beecroft,9396,1842,5.1 
Belfield,6322,,
Belimbla Park,581,,
Bella Vista,7837,,
Bellambi,3947,,
Bellbird,2032,265,7.6555 
Bellevue Hill,10716,,
Belmont,7114,808,8.8 
Belmont North,6335,2112,3 
Belmore,12718,,
Belrose,8780,,
Bensville,2607,1304,2.0 
Berala,9049,,
Berkeley,7605,,
Berkeley Vale,8355,2089,4 
Berkshire Park,2134,,
Berowra,4721,543,8.7 
Berowra Heights,5264,,
Berowra Waters,120 (2016 Census)[1],,
Berrilee,224,,
Berry,2667,,
Beverley Park,2393,,
Beverly Hills,10156,,
Bexley,19733,,
Bexley North,4097,,
Bidwill,4280,,
Bilgola,240,,
Bilgola Plateau,3518,,
Bilpin,665,,
Birchgrove,3303,5505,0.6 
Birrong,3103,,
Blackalls Park,2763,891,3.1 
Blackett,3452,,
Blackheath,4396,,
Blacksmiths,1844,1024,1.8 
Blacktown,47176,,
Blackwall,1738,1448,1.2 
Blair Athol,2711,,
Blairmount,482,,
Blakehurst,6219,,
Blaxland,7451,,
Blaxlands Ridge,464,,
Bligh Park,6366,,
Blue Bay,1025,1708,0.6 
Blue Haven,6378,2551,2.5 
Bolton Point,2298,1352,1.7 
Bondi,10045,11546,0.87 
Bondi Beach,11656,9554,1.22 
Bondi Junction,9445,11806,0.8 
Bonnells Bay,3578,1626,2.2 
Bonnet Bay,2133,,
Bonnyrigg,8670,2890,3 
Bonnyrigg Heights,7303,,
Booker Bay,1404,2808,0.5 
Bossley Park,14585,3241,4.5 
Botany,10817,1066.6,7 
Bow Bowing,1602,,
Bowen Mountain,1571,,
Bowral,12949,,
Box Hill,902,,
Bradbury,8800,,
Breakfast Point,4188,6980,0.6 
Brighton Le Sands,0,,
Brighton-le-sands,0,,
Brightwaters,903,821,1.1 
Bringelly,2507,,
Broadmeadow,1592,796,2 
Bronte,6733,5062,1.33 
Brooklyn,722,85.5,8.7 
Brookvale,3161,,
Brownlow Hill,424,,
Budgewoi,3360,,
Buff Point,3285,1564,2.1 
Bulli,6105,,
Bundeena,1919,1010,1.9 
Bungarribee,2638,,
Burradoo,2645,,
Burraneer,3584,,
Burwood,16030,8015,2 
Burwood Heights,989,3297,0.3 
Busby,4290,,
Buttaba,946,,
Cabarita,1957,,
Cabramatta,21783,4841,4.5 
Cabramatta West,7222,4012,1.8 
Calga,142,,
Cambridge Gardens,2014,2722,0.74 
Cambridge Park,6726,2557,2.63 
Camden,3230,,
Camden Park,2238,,
Camden South,4539,,
Cameron Park,7995,8883,0.9 
Cammeray,7006,4671,1.5 
Campbelltown,12566,,
Camperdown,10341,4362.7,1.5 
Campsie,24541,,
Canada Bay,1238,,
Canley Heights,10974,4221,2.6 
