Suburb,Postcode,House Median Price,House Rent (PW),Unit Median Price,Unit Rent (PW),House Price 2018,House Price 2017,House Price Change (1 yr),Unit Price 2018,Unit Price 2017,Unit Price Change (1 yr)
Abbotsbury,2176,1048750,540 ,no data,no data,1068750,976000,9.5,0,0,0.0
Abbotsford,2046,2810000,820 ,1115000,600 ,2900000,2152000,34.76,1100000,1162000,-5.34
Aberdare,2325,366000,305 ,280000,280 ,360000,333500,7.95,277500,261250,6.22
Acacia Gardens,2763,820000,560 ,no data,no data,815000,875000,-6.86,705250,700000,0.75
Adamstown,2289,701000,460 ,485000,350 ,715000,710500,0.63,485000,447500,8.38
Adamstown Heights,2289,742500,480 ,no data,345 ,747500,715000,4.55,370000,0,0.0
Airds,2560,465500,420 ,no data,no data,530000,640000,-17.19,0,0,0.0
Alexandria,2015,1400000,825 ,755000,600 ,1415000,1647500,-14.11,753000,755000,-0.26
Alfords Point,2234,1190000,815 ,no data,no data,1200000,1287500,-6.8,0,0,0.0
Allambie Heights,2100,1605000,825 ,no data,593 ,1600000,1663000,-3.79,950000,1060000,-10.38
Allawah,2218,1251100,520 ,640000,470 ,1251100,1375500,-9.04,655000,685000,-4.38
Ambarvale,2560,556000,398 ,367500,310 ,562000,585000,-3.93,377000,392500,-3.95
Annandale,2038,1590000,795 ,705000,480 ,1595000,1745000,-8.6,705000,665000,6.02
Annangrove,2156,2168500,400 ,no data,no data,2168500,2750000,-21.15,0,0,0.0
Appin,2560,792500,500 ,no data,350 ,796500,765000,4.12,0,445000,-100.0
Arcadia,2159,no data,no data,no data,no data,1808250,2025000,-10.7,0,0,0.0
Arcadia Vale,2283,559500,388 ,no data,no data,515000,469000,9.81,0,0,0.0
Argenton,2284,416500,373 ,no data,no data,421500,427000,-1.29,354000,410500,-13.76
Arncliffe,2205,1170000,650 ,660000,580 ,1180000,1338888,-11.87,660000,738000,-10.57
Artarmon,2064,2430000,940 ,910000,550 ,2675000,2700000,-0.93,920000,960000,-4.17
Ashbury,2193,1572000,655 ,no data,no data,1572000,1717500,-8.47,0,0,0.0
Ashcroft,2168,617500,399 ,no data,no data,630000,639000,-1.41,0,0,0.0
Ashfield,2131,1425000,680 ,675000,490 ,1456000,1480000,-1.62,680000,706000,-3.68
Asquith,2077,736500,560 ,695000,500 ,745750,1130000,-34.0,685000,675000,1.48
Auburn,2144,822500,480 ,515000,450 ,800000,903500,-11.46,515000,550000,-6.36
Austinmer,2515,1230000,715 ,no data,560 ,1230000,1185000,3.8,822500,725000,13.45
Avoca Beach,2251,970000,550 ,835000,450 ,960000,945000,1.59,811250,915000,-11.34
Balgowlah,2093,2165000,"1,050 ",1093000,595 ,2127500,2126500,0.05,1089000,1322500,-17.66
Balgownie,2519,807500,530 ,705000,450 ,831250,945000,-12.04,705000,680000,3.68
Balmain,2041,1877500,850 ,1090000,690 ,1885000,2055000,-8.27,1070000,1242500,-13.88
Bangor,2234,1090000,725 ,610000,530 ,1100000,1163500,-5.46,610000,756000,-19.31
Banksia,2216,1050000,610 ,no data,470 ,1048750,1213500,-13.58,645000,614000,5.05
Banksmeadow,2019,no data,no data,no data,no data,0,0,0.0,0,0,0.0
Bankstown,2200,895000,500 ,500000,425 ,895000,980000,-8.67,500000,520000,-3.85
Bar Beach,2300,1150000,no data,no data,420 ,1150000,1772500,-35.12,805000,576500,39.64
Barden Ridge,2234,1250000,700 ,no data,670 ,1250000,1327500,-5.84,811000,840000,-3.45
Bardwell Park,2207,1175000,673 ,no data,410 ,1200000,1425000,-15.79,835000,750500,11.26
Bardwell Valley,2207,1137500,593 ,805000,no data,1150000,1267500,-9.27,810000,862500,-6.09
Bargo,2574,670000,450 ,no data,no data,677500,700000,-3.21,365766,369000,-0.88
Barrack Heights,2528,587500,450 ,no data,330 ,595000,599500,-0.75,412000,368000,11.96
Bass Hill,2197,825000,550 ,680000,450 ,835000,881000,-5.22,690000,750000,-8.0
Bateau Bay,2261,682500,460 ,499000,400 ,683750,700000,-2.32,500000,478000,4.6
Baulkham Hills,2153,1115000,560 ,785000,520 ,1125000,1220000,-7.79,775000,841000,-7.85
Bayview,2104,1875000,943 ,no data,460 ,1905000,2250000,-15.33,454500,2500000,-81.82
Beacon Hill,2100,1432250,850 ,no data,550 ,1480000,1570750,-5.78,0,832000,-100.0
Beaconsfield,2015,1255000,800 ,692500,700 ,1252500,1580000,-20.73,700000,595000,17.65
Beaumont Hills,2155,1148000,660 ,no data,no data,1162500,1220000,-4.71,0,0,0.0
Beecroft,2119,1675000,750 ,1087500,500 ,1675000,1815000,-7.71,1087500,1100000,-1.14
Belfield,2191,1161000,600 ,704000,520 ,1185000,1450000,-18.28,718000,710000,1.13
Bella Vista,2153,1517000,750 ,no data,605 ,1525000,1736000,-12.15,938500,1200000,-21.79
Bellambi,2518,745000,460 ,492500,340 ,745500,775000,-3.81,466500,477500,-2.3
Bellbird,2325,351000,350 ,no data,no data,363500,341500,6.44,0,0,0.0
Bellevue Hill,2023,5537500,"2,398 ",1100000,695 ,5750000,5450000,5.5,1165000,1200000,-2.92
Belmont,2280,595000,415 ,502000,350 ,622500,623750,-0.2,512500,462500,10.81
Belmore,2192,1050000,600 ,519000,400 ,970000,1160000,-16.38,530000,524000,1.15
Belrose,2085,1495000,"1,000 ",707500,565 ,1525000,1625000,-6.15,765000,755000,1.32
Bensville,2251,891250,520 ,no data,no data,890000,730000,21.92,0,0,0.0
Berala,2141,850000,500 ,490000,390 ,860000,996000,-13.65,490000,475000,3.16
Berkeley,2506,520000,440 ,no data,330 ,528000,520000,1.54,504500,490000,2.96
