Postcode,Suburb,Direction,Distance (km),Latitude,Longitude,Population,Density (/km2),Area (km2),Total Crime,House Median Price,House Rent (PW),Unit Median Price,Unit Rent (PW),House Price 2018,House Price 2017,House Price Change (1 yr),Unit Price 2018,Unit Price 2017,Unit Price Change (1 yr),Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
2176,Abbotsbury,West,31.4,-33.872849999999964,150.86721000000009,4253,3272.0,1.3 ,121,1048750,540 ,no data,no data,1068750,976000,9.5,0,0,0.0,0,0,0,0,1,0,2,1
2046,Abbotsford,West,7.4,-33.850409999999954,151.12846000000005,5373,5373.0,1 ,158,2810000,820 ,1115000,600 ,2900000,2152000,34.76,1100000,1162000,-5.34,0,0,5,0,1,0,1,0
2325,Aberdare,North,115.2,-32.84185999999994,151.36986000000005,2473,750.0,3.2961 ,271,366000,305 ,280000,280 ,360000,333500,7.95,277500,261250,6.22,0,0,1,1,0,0,1,1
2763,Acacia Gardens,West,31.0,-33.732399999999984,150.91299999999998,3798,3798.0,1 ,60,820000,560 ,no data,no data,815000,875000,-6.86,705250,700000,0.75,0,0,1,0,1,0,0,0
2289,Adamstown,North-east,114.7,-32.93433999999996,151.7258700000001,6044,2015.0,3 ,656,701000,460 ,485000,350 ,715000,710500,0.63,485000,447500,8.38,0,0,3,2,0,0,1,0
2289,Adamstown Heights,North-east,112.5,-32.946319999999965,151.7079500000001,5299,1709.0,3.1 ,169,742500,480 ,no data,345 ,747500,715000,4.55,370000,0,0.0,0,0,0,0,1,0,1,0
2560,Airds,South-west,42.4,-34.084469999999946,150.8290400000001,2926,,,772,465500,420 ,no data,no data,530000,640000,-17.19,0,0,0.0,0,0,0,1,1,0,1,0
1435,Alexandria,South,4.1,-33.912369999999946,151.19703000000004,8262,1540.0,3.8 ,1190,1400000,825 ,755000,600 ,1415000,1647500,-14.11,753000,755000,-0.26,0,0,15,1,1,0,5,0
2234,Alfords Point,South-west,21.9,-33.993479999999984,151.02471000000003,3109,,,76,1190000,815 ,no data,no data,1200000,1287500,-6.8,0,0,0.0,0,0,1,0,1,0,3,0
2100,Allambie Heights,North,12.0,-33.76560999999998,151.2515900000001,7009,,,104,1605000,825 ,no data,593 ,1600000,1663000,-3.79,950000,1060000,-10.38,0,0,2,0,0,0,2,0
2218,Allawah,South-west,14.3,-33.97025999999994,151.1160000000001,5706,,,164,1251100,520 ,640000,470 ,1251100,1375500,-9.04,655000,685000,-4.38,0,0,0,1,1,0,1,0
2560,Ambarvale,South-west,44.2,-34.083869999999926,150.8024300000001,7374,,,707,556000,398 ,367500,310 ,562000,585000,-3.93,377000,392500,-3.95,0,0,0,0,1,0,3,1
2038,Annandale,West,3.7,-33.88004999999998,151.1713000000001,9451,,,489,1590000,795 ,705000,480 ,1595000,1745000,-8.6,705000,665000,6.02,0,0,18,2,3,0,3,0
2156,Annangrove,North-west,31.9,-33.65580999999997,150.9413800000001,1397,,,48,2168500,400 ,no data,no data,2168500,2750000,-21.15,0,0,0.0,0,0,1,0,0,0,0,0
2560,Appin,South-west,53.4,-34.20166999999998,150.78716000000009,2633,,,152,792500,500 ,no data,350 ,796500,765000,4.12,0,445000,-100.0,0,0,2,1,1,0,1,0
2159,Arcadia,North-west,30.7,-33.62147999999996,151.05366999999998,1385,,,22,no data,no data,no data,no data,1808250,2025000,-10.7,0,0,0.0,0,0,0,0,1,0,0,0
2284,Argenton,North,110.9,-32.93415999999996,151.6325800000001,1351,844.0,1.6 ,159,416500,373 ,no data,no data,421500,427000,-1.29,354000,410500,-13.76,0,0,1,0,0,0,2,1
2205,Arncliffe,South-west,9.5,-33.93664999999993,151.14678999999998,10590,2942.0,3.6 ,627,1170000,650 ,660000,580 ,1180000,1338888,-11.87,660000,738000,-10.57,0,0,2,0,1,0,3,1
1570,Artarmon,North,6.7,-33.808149999999955,151.18382000000008,9523,3809.0,2.5 ,444,2430000,940 ,910000,550 ,2675000,2700000,-0.93,920000,960000,-4.17,0,0,15,0,0,0,3,0
2193,Ashbury,West,9.0,-33.898169999999936,151.1210000000001,3329,,,82,1572000,655 ,no data,no data,1572000,1717500,-8.47,0,0,0.0,0,0,2,0,2,0,0,1
1800,Ashfield,West,7.9,-33.88919999999996,151.12543000000005,23841,6812.0,3.5 ,1993,1425000,680 ,675000,490 ,1456000,1480000,-1.62,680000,706000,-3.68,0,0,18,1,1,0,10,3
2077,Asquith,North-west,22.0,-33.688709999999965,151.1094700000001,3376,,,162,736500,560 ,695000,500 ,745750,1130000,-34.0,685000,675000,1.48,0,0,1,0,0,0,3,1
1835,Auburn,West,16.2,-33.848559999999964,151.0295000000001,37366,,,2870,822500,480 ,515000,450 ,800000,903500,-11.46,515000,550000,-6.36,0,0,8,0,2,0,3,0
2515,Austinmer,South-west,55.0,-34.30577999999996,150.9350300000001,2560,,,59,1230000,715 ,no data,560 ,1230000,1185000,3.8,822500,725000,13.45,0,0,3,0,1,0,0,0
2251,Avoca Beach,North-east,49.4,-33.46739999999994,151.4337800000001,4584,1146.0,4.0 ,151,970000,550 ,835000,450 ,960000,945000,1.59,811250,915000,-11.34,1,0,4,0,2,0,1,0
