Postcode,Suburb,Distance (km),Latitude,Longitude,Density (/km2),Population,Total Crime,House Median Price,House Price Change (1 yr),Food,Nightlife Spot,Outdoors & Recreation,Shop & Service,Travel & Transport,Crime Rate
2046,Abbotsford,7.4,-33.850409999999954,151.12846000000005,5373.0,5373,158,2810000,34.76,5,0,1,1,0,2.94
1435,Alexandria,4.1,-33.912369999999946,151.19703000000004,1540.0,8262,1190,1400000,-14.11,15,1,1,5,0,14.4
2205,Arncliffe,9.5,-33.93664999999993,151.14678999999995,2942.0,10590,627,1170000,-11.87,2,0,1,3,1,5.92
1570,Artarmon,6.7,-33.808149999999955,151.18382000000008,3809.0,9523,444,2430000,-0.93,15,0,0,3,0,4.66
2041,Balmain,2.9,-33.855999999999945,151.17587000000003,6969.0,10453,663,1877500,-8.27,29,7,4,2,1,6.34
2234,Bangor,23.5,-34.01859999999993,151.02890000000005,1371.0,5620,110,1090000,-5.46,1,1,0,2,0,1.96
2014,Beaconsfield,5.1,-33.912499999999966,151.2005600000001,3345.0,987,47,1255000,-20.73,15,0,0,3,0,4.76
2119,Beecroft,18.6,-33.74968999999993,151.0646200000001,1842.0,9396,228,1675000,-7.71,9,0,1,3,0,2.43
2081,Berowra,27.6,-33.623639999999966,151.15048000000004,543.0,4721,350,1125000,-2.16,5,0,2,1,4,7.41
2041,Birchgrove,2.9,-33.85185999999993,151.1809900000001,5505.0,3303,166,1925000,-7.86,1,3,2,0,0,5.03
2026,Bondi Beach,6.8,-33.88865999999996,151.27786000000003,9554.0,11656,1687,2625000,4.87,26,5,5,5,2,14.47
1455,Botany,8.7,-33.94516999999996,151.19676000000004,1066.6,10817,406,1517500,1.88,8,1,2,3,1,3.75
2024,Bronte,6.5,-33.90286999999995,151.2600100000001,5062.0,6733,255,3275000,-9.03,7,0,0,0,0,3.79
2230,Bundeena,24.7,-34.084149999999966,151.14633999999995,1010.0,1919,90,971000,2.42,3,0,3,1,1,4.69
2062,Cammeray,5.0,-33.82224999999994,151.21036999999995,4671.0,7006,199,2260000,-5.66,13,2,3,4,2,2.84
1450,Camperdown,3.7,-33.888059999999946,151.18321000000003,4362.7,10341,1190,1512500,13.7,11,3,1,3,0,11.51
2166,Canley Heights,26.2,-33.88380999999998,150.9252700000001,4221.0,10974,583,810000,-2.41,19,1,1,1,0,5.31
2166,Canley Vale,24.5,-33.88704999999993,150.94260000000008,3405.0,10216,704,850000,2.89,14,2,1,0,2,6.89
2118,Carlingford,17.5,-33.778389999999945,151.0559800000001,3088.0,24396,708,1350000,-4.59,16,0,1,8,0,2.9
2069,Castle Cove,9.3,-33.78164999999996,151.2016000000001,1110.0,2554,34,2681100,5.81,3,0,1,2,0,1.33
2068,Castlecrag,7.2,-33.802379999999964,151.21239000000003,1772.5,2939,34,2725000,-10.35,6,0,1,1,0,1.16
2067,Chatswood West,8.7,-33.792569999999955,151.15949000000015,535.0,1499,24,1860000,4.58,2,0,1,0,1,1.6
2105,Church Point,25.8,-33.64481999999998,151.2844600000001,1424.0,997,81,2315000,14.04,1,0,0,0,3,8.12
2093,Clontarf,7.9,-33.797949999999965,151.2525300000001,2171.0,1737,58,3350000,0.84,7,1,2,1,1,3.34
2034,Coogee,7.4,-33.92065999999994,151.25562000000005,8006.0,15212,1016,2550000,-15.65,34,2,13,4,7,6.68
2090,Cremorne,4.8,-33.829909999999984,151.22726000000014,6888.0,11227,301,2899000,7.37,37,4,1,6,0,2.68
1585,Crows Nest,4.6,-33.82515999999998,151.2008900000001,6313.0,4798,427,1930000,-7.07,77,6,2,9,0,8.9
1470,Drummoyne,5.2,-33.85419999999993,151.15750000000003,5173.0,11950,534,1850000,-12.3,8,3,5,5,2,4.47
2203,Dulwich Hill,7.2,-33.903409999999944,151.1424800000001,6531.0,13715,844,1450000,-0.33,17,1,2,2,2,6.15
2117,Dundas,16.8,-33.80133999999998,151.04609000000005,3646.0,4740,171,1175000,-6.19,1,0,1,0,1,3.61
2036,Eastgardens,8.9,-33.94364999999993,151.22256000000004,7630.0,860,490,1435000,7.91,22,0,1,15,0,56.98
2122,Eastwood,14.5,-33.791399999999946,151.08037000000004,3436.0,17865,788,1627500,-9.86,43,2,1,3,1,4.41
2027,Edgecliff,2.9,-33.87866999999994,151.23536000000001,8062.0,2580,306,1738750,6.5,5,0,2,2,1,11.86
1710,Epping,15.6,-33.77684999999997,151.0721400000001,3463.0,23688,1201,1550000,-9.91,1,0,1,0,1,5.07
1700,Ermington,15.3,-33.814499999999946,151.0563000000001,2386.0,10737,533,1250000,-6.89,8,0,0,2,1,4.96
2043,Erskineville,4.2,-33.899639999999984,151.18401000000006,5246.4,8014,524,1315000,-8.04,6,6,0,1,0,6.54
