Suburb,Latitude,Longitude,Venue,Category,Main Category
Abbotsbury,-33.872849999999964,150.86721000000009,Stockdale reserve,Park,Outdoors & Recreation
Abbotsbury,-33.872849999999964,150.86721000000009,Abbotsbury Shops,Convenience Store,Shop & Service
Abbotsbury,-33.872849999999964,150.86721000000009,817 bus stop,Bus Station,Travel & Transport
Abbotsford,-33.850409999999954,151.12846000000005,The Cove Dining Co,Café,Food
Abbotsford,-33.850409999999954,151.12846000000005,The Cove Dining Co,Café,Food
Abbotsford,-33.850409999999954,151.12846000000005,Henry Lawson Park,Park,Outdoors & Recreation
Abbotsford,-33.850409999999954,151.12846000000005,Sistina Ristorante & Pizzeria,Pizza Place,Food
Abbotsford,-33.850409999999954,151.12846000000005,Lock Stock And Bottle,Wine Shop,Shop & Service
Abbotsford,-33.850409999999954,151.12846000000005,Cinnamon Thai Cuisine,Thai Restaurant,Food
Abbotsford,-33.850409999999954,151.12846000000005,Andiamo,Italian Restaurant,Food
Aberdare,-32.84185999999994,151.36986000000005,BP,Gas Station,Shop & Service
Aberdare,-32.84185999999994,151.36986000000005,Caledonia Hotel,Pub,Nightlife Spot
Aberdare,-32.84185999999994,151.36986000000005,aberdare take away,Fast Food Restaurant,Food
Aberdare,-32.84185999999994,151.36986000000005,Caledonia Station,Train Station,Travel & Transport
Acacia Gardens,-33.732399999999984,150.91299999999995,Waite Reserve,Park,Outdoors & Recreation
Adamstown,-32.93433999999996,151.7258700000001,Adams Ribs & Pizza,Pizza Place,Food
Adamstown,-32.93433999999996,151.7258700000001,Cupcake Espresso Adamstown,Cupcake Shop,Food
Adamstown,-32.93433999999996,151.7258700000001,Domino's Pizza,Pizza Place,Food
Adamstown,-32.93433999999996,151.7258700000001,The Nags Head Hotel,Pub,Nightlife Spot
Adamstown,-32.93433999999996,151.7258700000001,7 Eleven,Convenience Store,Shop & Service
Adamstown,-32.93433999999996,151.7258700000001,The Gates Hotel,Beer Garden,Nightlife Spot
Adamstown,-32.93433999999996,151.7258700000001,Adamstown Park,Park,Outdoors & Recreation
Adamstown Heights,-32.946319999999965,151.7079500000001,David Jones,Department Store,Shop & Service
Airds,-34.084469999999946,150.8290400000001,Cleaners Airds,Dry Cleaner,Shop & Service
Airds,-34.084469999999946,150.8290400000001,Airds Shopping Centre,Shopping Mall,Shop & Service
Airds,-34.084469999999946,150.8290400000001,Airds Pub,Pub,Nightlife Spot
Alexandria,-33.912369999999946,151.19703000000004,The Potting Shed at The Grounds,Bar,Nightlife Spot
Alexandria,-33.912369999999946,151.19703000000004,The Grounds Of Alexandria,Café,Food
Alexandria,-33.912369999999946,151.19703000000004,L'Americano,Café,Food
Alexandria,-33.912369999999946,151.19703000000004,COOH Cafe & Roaster,Café,Food
Alexandria,-33.912369999999946,151.19703000000004,Ola Lola,Café,Food
Alexandria,-33.912369999999946,151.19703000000004,Adamo's Pasta,Italian Restaurant,Food
Alexandria,-33.912369999999946,151.19703000000004,Al Aseel,Middle Eastern Restaurant,Food
Alexandria,-33.912369999999946,151.19703000000004,Alexandria Basketball Stadium,Basketball Court,Outdoors & Recreation
Alexandria,-33.912369999999946,151.19703000000004,Seasoning Thai,Thai Restaurant,Food
Alexandria,-33.912369999999946,151.19703000000004,Little ME Coffee,Coffee Shop,Food
Alexandria,-33.912369999999946,151.19703000000004,Weighbridge Cafe,Café,Food
