Suburb,Direction,Distance (km)
Abbotsbury,West,31.4
Abbotsford,West,7.4
Aberdare,North,115.2
Acacia Gardens,West,31
Adamstown,North-east,114.7
Adamstown Heights,North-east,112.5
Agnes Banks,North-west,53.8
Airds,South-west,42.4
Alexandria,South,4.1
Alfords Point,South-west,21.9
Alison,North,68.3
Allambie Heights,North,12
Allawah,South-west,14.3
Ambarvale,South-west,44.2
Annandale,West,3.7
Annangrove,North-west,31.9
Appin,South-west,53.4
Arcadia,North-west,30.7
Arcadia Vale,North,96.1
Argenton,North,110.9
Arncliffe,South-west,9.5
Arndell Park,West,31.1
Artarmon,North,6.7
Ashbury,West,9
Ashcroft,West,29
Ashfield,West,7.9
Asquith,North-west,22
Auburn,West,16.2
Austinmer,South-west,55
Austral,West,37.2
Avalon,North-east,28.1
Avoca Beach,North-east,49.4
Badgerys Creek,West,43.2
Balaclava,North-west,13.8
Balgowlah,North-east,9.6
Balgowlah Heights,North-east,8.6
Balgownie,South-west,65.5
Balmain,West,2.9
Balmain East,North-west,1.8
Bangor,South-west,23.5
Banksia,South-west,10.7
Banksmeadow,South,10.3
Bankstown,West,16.9
Bar Beach,North-east,115.6
Bar Point,North,39.7
Barden Ridge,South-west,26.2
Bardia,West,34.3
Bardwell Park,South-west,10.4
Bardwell Valley,South-west,10.1
Bargo,South-west,74.5
Barrack Heights,South-west,84.1
Bass Hill,West,20
Bateau Bay,North-east,59.7
Baulkham Hills,North-west,25.2
Bayview,North,24.5
Beacon Hill,North,13.7
Beaconsfield,South,5.1
Beaumont Hills,North-west,30.2
Beecroft,North-west,18.6
Belfield,West,12.1
Belimbla Park,West,65.9
Bella Vista,North-west,27.4
Bellambi,South-west,61.9
Bellbird,North,113
Bellevue Hill,East,5.3
Belmont,North-east,101.7
Belmont North,North-east,103.5
Belmore,West,12.3
Belrose,North,14.2
Bensville,North,44.1
Berala,West,16.3
Berkeley,South-west,75.9
Berkeley Vale,North,62.1
Berkshire Park,West,44
Berowra,North,27.6
Berowra Heights,North,29.3
Berowra Waters,North,30.6
Berrilee,North,29.8
Berry,South-west,111.5
Beverley Park,South-west,13.9
Beverly Hills,South-west,14.8
Bexley,South-west,11.7
Bexley North,South-west,11.7
Bidwill,West,38.7
Bilgola,North-east,26.9
Bilgola Plateau,North-east,26.9
Bilpin,North-west,75.6
Birchgrove,North-west,2.9
Birrong,West,17.3
Blackalls Park,North,102.6
Blackett,West,39.3
Blackheath,West,89.2
Blacksmiths,North-east,96.9
Blacktown,West,29.7
Blackwall,North,42
Blair Athol,West,43
Blairmount,West,42.4
Blakehurst,South-west,16.1
Blaxland,West,56.9
Blaxlands Ridge,North-west,59.6
Bligh Park,North-west,45.9
Blue Bay,North-east,62.9
Blue Haven,North,78.1
Bolton Point,North,103.3
Bondi,East,5.9
Bondi Beach,East,6.8
Bondi Junction,South-east,4.7
Bonnells Bay,North,90
Bonnet Bay,South-west,21.2
Bonnyrigg,West,29.7
Bonnyrigg Heights,West,31.4
Booker Bay,North,41.6
