Suburb,Total
Aarons Pass,4
Abbotsbury,121
Abbotsford,158
Abercrombie,41
Abercrombie River,6
Aberdare,271
Aberdeen,152
Aberfoyle,6
Aberglasslyn,304
Abernethy,14
Abington,1
Acacia Creek,1
Acacia Gardens,60
Adaminaby,19
Adamstown,656
Adjungbilly,7
Afterlee,1
Agnes Banks,54
Airds,772
Akolele,19
Albert,16
Albion Park,515
Albury,2184
Aldavilla,22
Alectown,6
Alexandria,1190
Alfords Point,76
Alfredtown,0
Alice,0
Alison (Central Coast),11
Alison (Dungog),2
Allambie Heights,104
Allandale,7
Allawah,164
Alleena,5
Allgomera,5
Allworth,11
Allynbrook,8
Alma Park,3
Alpine,6
Alstonvale,21
Alstonville,254
Alumy Creek,6
Amaroo,0
Amosfield,0
Anabranch North,0
Anabranch South,3
Anambah,1
Ando,0
Anembo,3
Angledale,15
Angledool,1
Anglers Reach,5
Angourie,12
Anna Bay,248
Annandale,489
Annangrove,48
Appin,152
Apple Tree Flat,0
Appleby,5
Appletree Flat,1
Apsley,1
Arable,1
Araluen,13
Aratula,0
Arcadia,22
Arcadia Vale,33
Ardglen,3
Arding,7
Ardlethan,33
Argalong,4
Argenton,159
Argents Hill,16
Argoon,1
Ariah Park,15
Arkell,1
Arkstone,2
Armatree,24
Arncliffe,627
Arndell Park,100
Arrawarra,31
Arrawarra Headland,18
Artarmon,444
Arthurville,0
Arumpo,1
Ashbury,82
Ashby,1
Ashby Heights,6
Ashby Island,0
Ashcroft,377
Ashfield,1993
Ashford,58
Ashley,18
Ashtonfield,132
Asquith,162
Atholwood,4
Attunga,36
Auburn,2870
Auburn Vale,0
Austinmer,59
Austral Eden,2
Avalon Beach,283
Avisford,0
Avoca,4
Avoca Beach,151
Avon,0
Avonside,7
Aylmerton,2
Baan Baa,12
Babinda,0
Babyl Creek,2
Back Creek (Bland),2
Back Creek (Gwydir),0
Back Creek (Mid-Coast),2
Back Creek (Queanbeyan-Palerang Regional),1
Back Creek (Tenterfield),1
Back Creek (Tweed),7
Back Forest,3
Backmede,2
Backwater,7
Badja,3
Baerami,2
Baerami Creek,0
Bagnoo,2
Bago,0
Bagotville,0
Bakers Creek (Mid-Coast),2
Bakers Creek (Nambucca),3
Bakers Creek (Uralla),0
Bakers Swamp,2
Balaclava,13
Balala,7
Balcolyn,32
Bald Blair,0
Bald Hills,0
Bald Nob,1
Bald Ridge,3
Baldersleigh,2
Baldry,3
Balfours Peak,0
Balgowlah,261
Balgowlah Heights,58
Balgownie,163
Balickera,1
Balladoran,3
Ballalaba,1
Balldale,10
Ballengarra,1
Ballimore,5
Balmain,663
Balmain East,95
Balmoral (Lake Macquarie),17
Balmoral (Wingecarribee),14
Balranald,129
Bamarang,3
Bandon Grove,2
Bangadang,0
Bangalee,23
Bangalow,94
Bangheet,0
Bango,1
Bangor,110
Banksia,229
Banksmeadow,53
Bankstown,6669
Bankstown Aerodrome,99
Bannaby,9
Bannister,4
Banoon,1
Banora Point,522
Banyabba,5
Bar Beach,176
Bar Point,22
Bara,0
Baradine,87
Barangaroo,72
Barcoongere,32
Barden Ridge,108
Bardia,62
Bardwell Park,159
Bardwell Valley,68
Barellan,40
Bargo,215
Barham,96
Barigan,0
Barkers Vale,6
Barmedman,28
Barneys Reef,0
Barnsley,79
Barooga,70
Barraba,105
Barrack Heights,432
Barrack Point,28
Barraganyatti,7
Barragga Bay,3
Barratta,1
Barren Grounds,0
Barrengarry,9
Barretts Creek,1
Barringella,3
Barrington,5
Barrington Tops,2
Barry (Blayney),6
Barwang,3
Barwon,0
Baryulgil,6
Basin View,41
Bassendean,0
Batar Creek,2
Bateau Bay,832
Batehaven,228
Batemans Bay,839
Bathampton,2
Batlow,162
Baulkham Hills,1230
Baw Baw,5
Bawley Point,32
Baxters Ridge,0
Bayview,65
Beacon Hill,146
Beaconsfield,47
Bean Creek,7
Bearbong,2
Beaumont,8
