Suburb,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
Abbotsbury,0,0,0,0,1,0,2,1
Abbotsford,0,0,5,0,1,0,1,0
Aberdare,0,0,1,1,0,0,1,1
Acacia Gardens,0,0,1,0,1,0,0,0
Adamstown,0,0,3,2,0,0,1,0
Adamstown Heights,0,0,0,0,1,0,1,0
Airds,0,0,0,1,1,0,1,0
Alexandria,0,0,15,1,1,0,5,0
Alfords Point,0,0,1,0,1,0,3,0
Alison,0,0,2,1,0,0,1,0
Allambie Heights,0,0,2,0,0,0,2,0
Allawah,0,0,0,1,1,0,1,0
Ambarvale,0,0,0,0,1,0,3,1
Annandale,0,0,18,2,3,0,3,0
Annangrove,0,0,1,0,0,0,0,0
Appin,0,0,2,1,1,0,1,0
Arcadia,0,0,0,0,1,0,0,0
Argenton,0,0,1,0,0,0,2,1
Arncliffe,0,0,2,0,1,0,3,1
Arndell Park,0,0,0,0,1,0,0,0
Artarmon,0,0,15,0,0,0,3,0
Ashbury,0,0,2,0,2,0,0,1
Ashfield,0,0,18,1,1,0,10,3
Asquith,0,0,1,0,0,0,3,1
Auburn,0,0,8,0,2,0,3,0
Austinmer,0,0,3,0,1,0,0,0
Austral,0,0,1,0,0,0,1,0
Avalon,0,0,7,0,1,0,1,0
Avoca Beach,1,0,4,0,2,0,1,0
Balaclava,0,0,0,0,0,0,1,0
Balgowlah,0,0,6,0,3,0,4,0
Balgowlah Heights,0,0,0,0,2,0,0,0
Balgownie,0,0,4,1,0,0,1,0
Balmain,0,0,29,7,4,0,2,1
Balmain East,0,0,3,0,3,0,0,0
Bangor,1,0,1,1,0,0,2,0
Banksia,0,0,6,2,2,0,5,3
Banksmeadow,0,0,0,1,1,0,1,0
Bankstown,2,0,19,2,1,0,9,1
Bar Beach,0,0,3,0,3,0,2,0
Bar Point,0,0,1,0,0,0,0,0
Barden Ridge,0,0,0,0,0,0,0,1
Bardia,0,0,1,0,0,0,0,0
Bardwell Park,0,0,1,1,2,0,0,1
Bardwell Valley,0,0,0,0,3,0,0,0
Bargo,0,0,2,1,0,0,1,1
Barrack Heights,2,0,1,0,0,0,2,0
Bass Hill,0,0,6,0,1,0,4,0
Bateau Bay,1,0,1,0,2,0,0,0
Baulkham Hills,0,0,6,0,1,0,3,0
Bayview,0,0,1,0,2,0,0,1
Beacon Hill,0,0,1,0,2,0,1,0
Beaconsfield,0,0,15,0,0,0,3,0
Beaumont Hills,0,0,0,0,3,0,1,0
Beecroft,0,0,9,0,1,0,3,0
Belfield,0,0,6,0,1,0,1,0
Bella Vista,0,0,4,0,2,0,0,0
Bellambi,0,0,0,0,1,0,0,0
Bellbird,0,0,0,0,1,0,0,0
Bellevue Hill,0,0,3,0,1,0,2,0
Belmont,1,0,7,1,0,0,4,0
Belmont North,1,0,0,0,2,0,2,0
Belmore,1,0,10,0,0,0,0,0
Belrose,0,0,1,0,0,0,2,0
Berala,0,0,4,0,0,0,3,1
Berkeley Vale,0,0,0,0,1,0,1,0
Berowra,1,0,5,0,2,0,1,4
Berowra Heights,0,0,5,1,0,0,3,0
Berowra Waters,0,0,2,0,1,0,0,1
Berrilee,0,0,0,0,1,0,0,0
Berry,0,0,9,2,0,0,5,0
Beverley Park,1,0,3,1,0,0,2,0
Beverly Hills,1,0,10,1,1,0,1,0
Bexley,0,0,2,0,1,0,2,0
Bexley North,0,0,5,1,0,0,1,1
Bidwill,0,0,1,1,0,0,2,0
Bilgola,0,0,1,0,1,0,1,0
Bilgola Plateau,0,0,1,0,1,0,1,0
Bilpin,0,0,1,0,0,0,0,0
Birchgrove,1,0,1,3,2,0,0,0
Birrong,0,0,0,0,2,0,1,1
Blackalls Park,0,0,1,0,0,0,0,0
Blackett,0,0,0,0,0,0,1,0
Blackheath,0,0,9,2,0,0,2,1
Blacksmiths,0,0,2,1,1,0,0,1
Blacktown,3,0,27,0,2,0,10,0
Blackwall,0,0,1,0,0,0,0,0
Blakehurst,0,0,1,0,1,1,1,0
Blaxland,0,0,4,0,0,0,3,1
Bligh Park,0,0,1,0,0,0,1,0
Blue Bay,0,0,3,0,1,0,2,0
Blue Haven,0,0,0,0,0,0,1,1
Bolton Point,0,0,0,0,1,0,0,0
Bondi,0,0,15,0,3,0,4,0
Bondi Beach,0,0,26,5,5,0,5,2
Bondi Junction,1,0,32,3,4,0,12,1
Bonnells Bay,0,0,0,0,0,0,1,0
Bonnet Bay,0,0,1,0,1,0,0,0
Bonnyrigg,0,0,0,0,0,0,2,0
Bonnyrigg Heights,0,0,1,1,1,0,1,0
Booker Bay,0,0,2,0,1,0,1,1
Bossley Park,0,0,0,0,0,0,2,0
Botany,0,0,8,1,2,0,3,1
Bowral,1,0,14,2,1,0,6,0
Bradbury,0,0,1,1,0,0,2,0
Breakfast Point,0,0,3,1,2,0,2,1
Brighton Le Sands,0,0,21,0,3,0,2,1
Brighton-le-sands,0,0,21,0,3,0,2,1
Bringelly,0,0,1,0,0,0,1,0
Broadmeadow,1,0,2,0,1,0,0,1
Bronte,0,0,7,0,0,0,0,0
Brooklyn,0,0,3,1,3,0,0,4
Brookvale,0,0,3,3,1,0,1,0
Brownlow Hill,0,0,0,0,0,0,1,0
Budgewoi,0,0,0,0,2,0,0,0
Buff Point,0,0,0,0,1,0,0,0
Bulli,0,0,2,1,0,0,1,1
Bundeena,0,0,3,0,3,0,1,1
Bungarribee,0,0,0,0,1,0,1,0
Burraneer,0,0,2,0,1,0,1,0
Burwood,2,0,44,2,2,0,14,0
Burwood Heights,0,0,3,1,0,0,0,0
Busby,0,0,1,0,0,0,0,1
Buttaba,0,0,0,0,1,0,0,0
Cabarita,0,0,0,0,4,0,0,0
Cabramatta,0,0,34,1,0,0,2,1
Cabramatta West,0,0,3,0,1,0,0,0
Cambridge Gardens,0,0,2,0,1,0,0,0
Cambridge Park,0,0,4,0,0,0,0,0
Camden,0,0,9,0,0,0,1,0
Camden Park,0,0,0,0,0,0,2,0
Camden South,0,0,2,1,1,0,0,0
Cameron Park,0,0,0,0,0,0,1,0
Cammeray,0,0,13,2,3,0,4,2
