Main Category,Sub Category
Arts & Entertainment,Amphitheater
Arts & Entertainment,Aquarium
Arts & Entertainment,Arcade
Arts & Entertainment,Art Gallery
Arts & Entertainment,Bowling Alley
Arts & Entertainment,Casino
Arts & Entertainment,Circus
Arts & Entertainment,Comedy Club
Arts & Entertainment,Concert Hall
Arts & Entertainment,Country Dance Club
Arts & Entertainment,Disc Golf
Arts & Entertainment,Exhibit
Arts & Entertainment,General Entertainment
Arts & Entertainment,Go Kart Track
Arts & Entertainment,Historic Site
Arts & Entertainment,Karaoke Box
Arts & Entertainment,Laser Tag
Arts & Entertainment,Memorial Site
Arts & Entertainment,Mini Golf
Arts & Entertainment,Movie Theater
Arts & Entertainment,Drive-in Theater
Arts & Entertainment,Indie Movie Theater
Arts & Entertainment,Multiplex
Arts & Entertainment,Museum
Arts & Entertainment,Art Museum
Arts & Entertainment,Erotic Museum
Arts & Entertainment,History Museum
Arts & Entertainment,Planetarium
Arts & Entertainment,Science Museum
Arts & Entertainment,Music Venue
Arts & Entertainment,Jazz Club
Arts & Entertainment,Piano Bar
Arts & Entertainment,Rock Club
Arts & Entertainment,Pachinko Parlor
Arts & Entertainment,Performing Arts Venue
Arts & Entertainment,Dance Studio
Arts & Entertainment,Indie Theater
Arts & Entertainment,Opera House
Arts & Entertainment,Theater
Arts & Entertainment,Pool Hall
Arts & Entertainment,Public Art
Arts & Entertainment,Outdoor Sculpture
Arts & Entertainment,Street Art
Arts & Entertainment,Racecourse
Arts & Entertainment,Racetrack
Arts & Entertainment,Roller Rink
Arts & Entertainment,Salsa Club
Arts & Entertainment,Samba School
Arts & Entertainment,Stadium
Arts & Entertainment,Baseball Stadium
Arts & Entertainment,Basketball Stadium
Arts & Entertainment,Cricket Ground
Arts & Entertainment,Football Stadium
Arts & Entertainment,Hockey Arena
Arts & Entertainment,Rugby Stadium
Arts & Entertainment,Soccer Stadium
Arts & Entertainment,Tennis Stadium
Arts & Entertainment,Track Stadium
Arts & Entertainment,Theme Park
Arts & Entertainment,Theme Park Ride / Attraction
Arts & Entertainment,Tour Provider
Arts & Entertainment,Water Park
Arts & Entertainment,Zoo
Arts & Entertainment,Zoo Exhibit
College & University,College Academic Building
College & University,College Arts Building
College & University,College Communications Building
College & University,College Engineering Building
College & University,College History Building
College & University,College Math Building
College & University,College Science Building
College & University,College Technology Building
College & University,College Administrative Building
College & University,College Auditorium
College & University,College Bookstore
College & University,College Cafeteria
College & University,College Classroom
College & University,College Gym
College & University,College Lab
College & University,College Library
College & University,College Quad
College & University,College Rec Center
College & University,College Residence Hall
College & University,College Stadium
College & University,College Baseball Diamond
College & University,College Basketball Court
College & University,College Cricket Pitch
College & University,College Football Field
College & University,College Hockey Rink
College & University,College Soccer Field
College & University,College Tennis Court
College & University,College Track
College & University,College Theater
College & University,Community College
College & University,Fraternity House
College & University,General College & University
College & University,Law School
College & University,Medical School
College & University,Sorority House
College & University,Student Center
College & University,Trade School
College & University,University
Event,Christmas Market
Event,Conference
Event,Convention
Event,Festival
Event,Line / Queue
Event,Music Festival
Event,Other Event
Event,Parade
Event,Sporting Event
Event,Stoop Sale
Event,Street Fair
Event,Trade Fair
Food,Afghan Restaurant
Food,African Restaurant
Food,Ethiopian Restaurant
Food,American Restaurant
Food,New American Restaurant
Food,Asian Restaurant
Food,Burmese Restaurant
Food,Cambodian Restaurant
Food,Chinese Restaurant
Food,Anhui Restaurant
Food,Beijing Restaurant
Food,Cantonese Restaurant
Food,Cha Chaan Teng
Food,Chinese Aristocrat Restaurant
Food,Chinese Breakfast Place
Food,Dim Sum Restaurant
Food,Dongbei Restaurant
Food,Fujian Restaurant
Food,Guizhou Restaurant
Food,Hainan Restaurant
Food,Hakka Restaurant
Food,Henan Restaurant
Food,Hong Kong Restaurant
Food,Huaiyang Restaurant
Food,Hubei Restaurant
Food,Hunan Restaurant
Food,Imperial Restaurant
Food,Jiangsu Restaurant
Food,Jiangxi Restaurant
Food,Macanese Restaurant
Food,Manchu Restaurant
Food,Peking Duck Restaurant
Food,Shaanxi Restaurant
Food,Shandong Restaurant
Food,Shanghai Restaurant
Food,Shanxi Restaurant
Food,Szechuan Restaurant
Food,Taiwanese Restaurant
Food,Tianjin Restaurant
Food,Xinjiang Restaurant
Food,Yunnan Restaurant
Food,Zhejiang Restaurant
Food,Filipino Restaurant
Food,Himalayan Restaurant
Food,Hotpot Restaurant
Food,Indonesian Restaurant
Food,Acehnese Restaurant
Food,Balinese Restaurant
Food,Betawinese Restaurant
Food,Indonesian Meatball Place
Food,Javanese Restaurant
Food,Manadonese Restaurant
Food,Padangnese Restaurant
Food,Sundanese Restaurant
Food,Japanese Restaurant
Food,Donburi Restaurant
Food,Japanese Curry Restaurant
Food,Kaiseki Restaurant
Food,Kushikatsu Restaurant
Food,Monjayaki Restaurant
Food,Nabe Restaurant
Food,Okonomiyaki Restaurant
Food,Ramen Restaurant
Food,Shabu-Shabu Restaurant
Food,Soba Restaurant
Food,Sukiyaki Restaurant
Food,Sushi Restaurant
Food,Takoyaki Place
Food,Tempura Restaurant
Food,Tonkatsu Restaurant
Food,Udon Restaurant
Food,Unagi Restaurant
Food,Wagashi Place
Food,Yakitori Restaurant
Food,Yoshoku Restaurant
Food,Korean Restaurant
Food,Bossam/Jokbal Restaurant
Food,Bunsik Restaurant
Food,Gukbap Restaurant
Food,Janguh Restaurant
Food,Samgyetang Restaurant
Food,Malay Restaurant
Food,Mamak Restaurant
Food,Mongolian Restaurant
Food,Noodle House
Food,Satay Restaurant
Food,Thai Restaurant
Food,Som Tum Restaurant
Food,Tibetan Restaurant
Food,Vietnamese Restaurant
Food,Australian Restaurant
Food,Austrian Restaurant
Food,BBQ Joint
Food,Bagel Shop
Food,Bakery
Food,Belgian Restaurant
Food,Bistro
Food,Breakfast Spot
Food,Bubble Tea Shop
Food,Buffet
Food,Burger Joint
Food,Cafeteria
Food,Café
Food,Cajun / Creole Restaurant
Food,Caribbean Restaurant
Food,Cuban Restaurant
Food,Caucasian Restaurant
Food,Coffee Shop
Food,Comfort Food Restaurant
Food,Creperie
Food,Czech Restaurant
Food,Deli / Bodega
Food,Dessert Shop
Food,Cupcake Shop
Food,Frozen Yogurt Shop
Food,Ice Cream Shop
Food,Pastry Shop
Food,Pie Shop
Food,Diner
Food,Donut Shop
Food,Dumpling Restaurant
Food,Dutch Restaurant
Food,Eastern European Restaurant
Food,Belarusian Restaurant
Food,Bosnian Restaurant
Food,Bulgarian Restaurant
Food,Romanian Restaurant
Food,Tatar Restaurant
Food,English Restaurant
Food,Falafel Restaurant
Food,Fast Food Restaurant
Food,Fish & Chips Shop
Food,Fondue Restaurant
Food,Food Court
Food,Food Stand
Food,Food Truck
Food,French Restaurant
Food,Alsatian Restaurant
Food,Auvergne Restaurant
Food,Basque Restaurant
Food,Brasserie
Food,Breton Restaurant
Food,Burgundian Restaurant
Food,Catalan Restaurant
Food,Ch'ti Restaurant
Food,Corsican Restaurant
Food,Estaminet
Food,Labour Canteen
Food,Lyonese Bouchon
Food,Norman Restaurant
Food,Provençal Restaurant
Food,Savoyard Restaurant
